Fecha,Día,Fase,Sesión AM,Volumen,Ritmo objetivo,Zona FC,Calentamiento / Vuelta a la calma,Sesión PM (doble/fuerza),Notas del coach
2026-07-25,Sábado,Fase 2: Base y Umbral,FONDO + final progresivo,15 km,12 km @4:50-5:00 + 3 km bajando a 4:20,Z2 → Z3,C3 / VC3,-,Primer fondo del bloque. No lo negocies.
2026-07-26,Domingo,Fase 2: Base y Umbral,CUESTAS A — Neuromuscular,8 km total,10 x 12 s cuesta a MÁXIMO,Z1 + picos,C4 / VC4,-,Bajar CAMINANDO 2-3 min. Recuperación completa.
2026-07-27,Lunes,Fase 2: Base y Umbral,Recuperación,8 km,5:20-5:30,Z1 (<158),C1 / VC1,-,Soltar piernas del fin de semana.
2026-07-28,Martes,Fase 2: Base y Umbral,Intervalos de Umbral,4 x 2 km,3:40-3:45,Z4 (177-186),C2 / VC2,FUERZA A — Máxima (45 min),"Fuerza DESPUÉS de correr, mínimo 4 h de separación."
2026-07-29,Miércoles,Fase 2: Base y Umbral,Rodaje medio,10 km,5:00,Z2 (158-166),C1 / VC1,-,Frenar de verdad. FC techo 166.
2026-07-30,Jueves,Fase 2: Base y Umbral,Tempo continuo,2 cal + 5 tempo + 2 enf,3:50-3:55,Z3-Z4,C2 / VC2,FUERZA B — Pliometría + Core (35 min),Completar los 5 km enteros. Sal conservador.
2026-07-31,Viernes,Fase 2: Base y Umbral,Recuperación,6 km,5:30,Z1,C1 / VC1,-,Regenerativo estricto. Nada de fuerza hoy.
2026-08-01,Sábado,Fase 2: Base y Umbral,FONDO + final progresivo,16 km,13 km @4:50 + 3 km bajando a 4:15,Z2 → Z3,C3 / VC3,-,Semana 1 de 8. Construyendo.
2026-08-02,Domingo,Fase 2: Base y Umbral,CUESTAS B — Fuerza-Resistencia,8-10 km total,8 x 45 s cuesta fuerte,Z5 en la rep,C5 / VC2,-,Bajada TROTANDO = recuperación. Cadencia >180.
2026-08-03,Lunes,Fase 2: Base y Umbral,Recuperación,8 km,5:20-5:30,Z1 (<158),C1 / VC1,-,Soltar piernas del fin de semana.
2026-08-04,Martes,Fase 2: Base y Umbral,Intervalos de Umbral,5 x 2 km,3:38-3:42,Z4,C2 / VC2,FUERZA A — Máxima (45 min),"Fuerza DESPUÉS de correr, mínimo 4 h de separación."
2026-08-05,Miércoles,Fase 2: Base y Umbral,Rodaje medio,10 km,5:00,Z2 (158-166),C1 / VC1,Trote suave 6 km Z1,Frenar de verdad. FC techo 166.
2026-08-06,Jueves,Fase 2: Base y Umbral,Tempo continuo,2 cal + 6 tempo + 2 enf,3:48-3:52,Z4,C2 / VC2,FUERZA B — Pliometría + Core (35 min),Pliometría en piernas ya calientes.
2026-08-07,Viernes,Fase 2: Base y Umbral,Recuperación,6 km,5:30,Z1,C1 / VC1,-,Regenerativo estricto. Nada de fuerza hoy.
2026-08-08,Sábado,Fase 2: Base y Umbral,FONDO + final progresivo,17 km,14 km @4:45 + 3 km bajando a 4:10,Z2 → Z3,C3 / VC3,-,
2026-08-09,Domingo,Fase 2: Base y Umbral,CUESTAS A — Neuromuscular,8-10 km total,12 x 12 s cuesta a MÁXIMO,Z1 + picos,C4 / VC4,-,Día ligero tras el fondo. No lo conviertas en aeróbico.
2026-08-10,Lunes,Fase 3: VO2 Específico,Recuperación,8 km,5:20-5:30,Z1 (<158),C1 / VC1,-,Soltar piernas del fin de semana.
2026-08-11,Martes,Fase 3: VO2 Específico,Series específicas 5K,5 x 1000 m,3:10-3:12,Z5 (>186),C2 / VC2,FUERZA A — Máxima (45 min),LA sesión clave del bloque. Rec 2 min activos. + Fuerza A PM.
2026-08-12,Miércoles,Fase 3: VO2 Específico,Rodaje medio,10 km,5:00,Z2 (158-166),C1 / VC1,Trote suave 6 km Z1,Frenar de verdad. FC techo 166.
2026-08-13,Jueves,Fase 3: VO2 Específico,Series cortas (velocidad),10 x 400 m,1:15 vuelta (~3:07/km),Z5 (>187),C2 / VC2,FUERZA B — Pliometría + Core (35 min),Rec 60 s. Mecánica de 5K. + Fuerza B PM.
2026-08-14,Viernes,Fase 3: VO2 Específico,Recuperación,6 km,5:30,Z1,C1 / VC1,-,Regenerativo estricto. Nada de fuerza hoy.
2026-08-15,Sábado,Fase 3: VO2 Específico,FONDO + final progresivo,18 km,15 km @4:45 + 3 km bajando a 4:10,Z2 → Z3,C3 / VC3,-,PICO DE VOLUMEN — fondo más largo de todo el plan.
2026-08-16,Domingo,Fase 3: VO2 Específico,CUESTAS B — Fuerza-Resistencia,8-10 km total,10 x 45 s cuesta fuerte,Z5 en la rep,C5 / VC2,-,Pico de carga en cuestas.
2026-08-17,Lunes,Fase 3: VO2 Específico,Recuperación,6 km,5:20-5:30,Z1 (<158),C1 / VC1,-,SEMANA DE DESCARGA. Volumen -25%. Aquí es donde absorbes todo.
2026-08-18,Martes,Fase 3: VO2 Específico,Series específicas 5K,4 x 1000 m,3:10,Z5,C2 / VC2,FUERZA A — Máxima (45 min),"Solo 4 series. Calidad, no cantidad."
2026-08-19,Miércoles,Fase 3: VO2 Específico,Rodaje medio,8 km,5:00,Z2 (158-166),C1 / VC1,Trote suave 6 km Z1,Frenar de verdad. FC techo 166.
2026-08-20,Jueves,Fase 3: VO2 Específico,Rodaje con rectas,8 km + 6 x 100 m,Suave + explosivo,Z2,C2 / VC1,FUERZA B — Pliometría + Core (35 min),Sin fuerza pesada esta semana — solo Fuerza B ligera.
2026-08-21,Viernes,Fase 3: VO2 Específico,Recuperación,6 km,5:30,Z1,C1 / VC1,-,Regenerativo estricto. Nada de fuerza hoy.
2026-08-22,Sábado,Fase 3: VO2 Específico,FONDO + final progresivo,13 km,11 km @4:45 + 2 km a 4:15,Z2 → Z3,C3 / VC3,-,Fondo corto. Confía en la descarga.
2026-08-23,Domingo,Fase 3: VO2 Específico,CUESTAS A — corto,8-10 km total,8 x 10 s cuesta a MÁXIMO,Z1 + picos,C4 / VC4,-,Cuestas breves. Recuperar es entrenar.
2026-08-24,Lunes,Fase 4: Pico de Forma,Recuperación,8 km,5:20-5:30,Z1 (<158),C1 / VC1,-,Vuelve la carga. Debes sentirte fresco tras la descarga.
2026-08-25,Martes,Fase 4: Pico de Forma,Series específicas 5K,6 x 1000 m,3:08-3:10,Z5,C2 / VC2,FUERZA A — Máxima (45 min),Sesión más dura del bloque hasta ahora.
2026-08-26,Miércoles,Fase 4: Pico de Forma,Rodaje medio,10 km,5:00,Z2 (158-166),C1 / VC1,Trote suave 6 km Z1,Frenar de verdad. FC techo 166.
2026-08-27,Jueves,Fase 4: Pico de Forma,Pista / Ritmo carrera,3 x 1500 m,3:10-3:12,Z4-Z5,C2 / VC2,FUERZA B — Pliometría + Core (35 min),Rec 3 min. Simulación parcial de carrera.
2026-08-28,Viernes,Fase 4: Pico de Forma,Recuperación,6 km,5:30,Z1,C1 / VC1,-,Regenerativo estricto. Nada de fuerza hoy.
2026-08-29,Sábado,Fase 4: Pico de Forma,FONDO + final progresivo,16 km,13 km @4:40 + 3 km a 4:05,Z2 → Z3,C3 / VC3,-,
2026-08-30,Domingo,Fase 4: Pico de Forma,CUESTAS B — Fuerza-Resistencia,8-10 km total,10 x 45 s cuesta fuerte,Z5 en la rep,C5 / VC2,-,
2026-08-31,Lunes,Fase 4: Pico de Forma,Recuperación,8 km,5:20-5:30,Z1 (<158),C1 / VC1,-,Soltar piernas del fin de semana.
2026-09-01,Martes,Fase 4: Pico de Forma,TEST DE LACTATO,2 x 2000 m,3:08-3:10,Z5,C2 / VC2,FUERZA A — Máxima (45 min),EL TEST. Rec 3 min. Aquí sabemos tu tiempo real de carrera.
2026-09-02,Miércoles,Fase 4: Pico de Forma,Rodaje medio,10 km,5:00,Z2 (158-166),C1 / VC1,Trote suave 6 km Z1,Frenar de verdad. FC techo 166.
2026-09-03,Jueves,Fase 4: Pico de Forma,Series cortas (velocidad),10 x 400 m,1:14 vuelta,Z5,C2 / VC2,FUERZA B — Pliometría + Core (35 min),Última sesión de fuerza pesada del bloque.
2026-09-04,Viernes,Fase 4: Pico de Forma,Recuperación,6 km,5:30,Z1,C1 / VC1,-,Regenerativo estricto. Nada de fuerza hoy.
2026-09-05,Sábado,Fase 4: Pico de Forma,FONDO + final progresivo,15 km,12 km @4:40 + 3 km a 4:05,Z2 → Z3,C3 / VC3,-,
2026-09-06,Domingo,Fase 4: Pico de Forma,CUESTAS A — Afilado,8-10 km total,10 x 10 s cuesta a MÁXIMO,Z1 + picos,C4 / VC4,-,Explosividad pura. Cero fatiga residual.
2026-09-07,Lunes,Fase 4: Pico de Forma,Recuperación,6 km,5:20-5:30,Z1 (<158),C1 / VC1,-,Última semana completa. Empieza a bajar volumen.
2026-09-08,Martes,Fase 4: Pico de Forma,Pista / Ritmo carrera,4 x 1500 m,3:08-3:10,Z4-Z5,C2 / VC2,FUERZA A — Máxima (45 min),Ritmo de carrera con recuperación amplia (3 min).
2026-09-09,Miércoles,Fase 4: Pico de Forma,Rodaje medio,8 km,5:00,Z2 (158-166),C1 / VC1,Trote suave 6 km Z1,Frenar de verdad. FC techo 166.
2026-09-10,Jueves,Fase 4: Pico de Forma,Series cortas,8 x 400 m,1:14 vuelta,Z5,C2 / VC2,FUERZA B — Pliometría + Core (35 min),Solo Fuerza B LIGERA — nada pesado ya.
2026-09-11,Viernes,Fase 4: Pico de Forma,Recuperación,6 km,5:30,Z1,C1 / VC1,-,Regenerativo estricto. Nada de fuerza hoy.
2026-09-12,Sábado,Fase 4: Pico de Forma,FONDO + final progresivo,12 km,10 km @4:40 + 2 km a 4:05,Z2 → Z3,C3 / VC3,-,Último fondo. Corto y alegre.
2026-09-13,Domingo,Fase 4: Pico de Forma,CUESTAS A — corto,8-10 km total,6 x 10 s cuesta,Z1 + picos,C4 / VC4,-,"Mantener chispa, nada más."
2026-09-14,Lunes,Fase 5: Taper y Carrera,Recuperación,6 km,5:20,Z1,C1 / VC1,-,"Empieza el taper. Volumen -50%, intensidad se mantiene."
