Bloque,Ejercicio,Series x Reps,Carga / Intensidad,Notas
FUERZA A — Máxima (Martes PM),Sentadilla trasera,4 x 5,80-85% 1RM,"Base de todo. Sube carga solo si la técnica es limpia."
FUERZA A — Máxima (Martes PM),Peso muerto rumano,3 x 6,75-80%,"Isquios y glúteo — el motor del despegue."
FUERZA A — Máxima (Martes PM),Zancada con mancuernas,3 x 8 por pierna,Moderada-alta,"Unilateral: corrige desequilibrios de zancada."
FUERZA A — Máxima (Martes PM),Elevación de gemelo a 1 pierna,3 x 12,Peso corporal + mancuerna,"Directo a la rigidez del Aquiles = economía."
FUERZA A — Máxima (Martes PM),Plancha frontal,3 x 45 s,-,"Core rígido = menos energía perdida."
FUERZA A — Máxima (Martes PM),Dead bug,3 x 10 por lado,-,"Control lumbopélvico bajo fatiga."
FUERZA B — Pliometría + Core (Jueves PM),Salto al cajón,4 x 5,Cajón 40-50 cm,"Aterrizaje suave. Calidad sobre cantidad."
FUERZA B — Pliometría + Core (Jueves PM),Salto con contramovimiento,3 x 6,Peso corporal,"Máxima intención en cada salto."
FUERZA B — Pliometría + Core (Jueves PM),Bounding / multisaltos,4 x 20 m,Peso corporal,"Zancada amplia y elástica."
FUERZA B — Pliometría + Core (Jueves PM),Peso muerto a 1 pierna,3 x 8 por pierna,Mancuerna moderada,"Estabilidad de cadera en apoyo único."
FUERZA B — Pliometría + Core (Jueves PM),Puente de glúteo a 1 pierna,3 x 12,Peso corporal,"Activación glútea — previene lesiones."
FUERZA B — Pliometría + Core (Jueves PM),Pallof press,3 x 10 por lado,Banda / polea,"Anti-rotación: clave para no perder energía lateral."
FUERZA B — Pliometría + Core (Jueves PM),Plancha lateral,3 x 30 s por lado,-,"Estabilidad frontal de cadera."
REGLAS DE ORO,Cuándo,-,-,"Fuerza SIEMPRE en día duro de correr (Mar/Jue). Nunca en día de recuperación."
REGLAS DE ORO,Separación,-,-,"Mínimo 4-6 h entre la carrera de la mañana y la pesa."
REGLAS DE ORO,Orden,-,-,"Correr primero SIEMPRE. La pesa nunca antes de una sesión de calidad."
REGLAS DE ORO,Semana de descarga (17-23 ago),-,-,"Solo Fuerza B ligera. Nada pesado."
REGLAS DE ORO,Última pesa pesada,-,-,"Jueves 3 de septiembre. Después solo pliometría ligera y movilidad."
REGLAS DE ORO,Taper (14-20 sep),-,-,"Cero fuerza. Solo movilidad 15 min el miércoles."
