Fecha,Día,Fase,Sesión,Volumen,Ritmo objetivo,Zona FC,Notas del coach
2026-07-25,Sábado,Fase 2: Base y Umbral,FONDO + final progresivo,15 km,12 km @ 4:50-5:00 + 3 km bajando a 4:20,Z2 → Z3,Primer fondo real del bloque. No lo negocies.
2026-07-26,Domingo,Fase 2: Base y Umbral,CUESTAS A — Neuromuscular,8 km total,10 x 12 s cuesta a MÁXIMO,Z1 base + picos,Bajar CAMINANDO 2-3 min. Si jadeas entre reps descansaste poco.
2026-07-27,Lunes,Fase 2: Base y Umbral,Recuperación,8 km,5:20-5:30,Z1 (<158),Soltar piernas del fin de semana.
2026-07-28,Martes,Fase 2: Base y Umbral,Intervalos de Umbral,4 x 2 km,3:40-3:45,Z4 (177-186),Recuperación 90 s trote entre series.
2026-07-29,Miércoles,Fase 2: Base y Umbral,Rodaje medio,10 km,5:00,Z2 (158-166),Frenar de verdad. Guarda piernas para el sábado.
2026-07-30,Jueves,Fase 3: Específico VO2 Max,Tempo continuo,2 cal + 5 tempo + 2 enf,Tempo 3:50-3:55,Z3-Z4,Completar los 5 km enteros. Sal conservador.
2026-07-31,Viernes,Fase 3: Específico VO2 Max,Recuperación,6 km,5:30,Z1,Regenerativo estricto.
2026-08-01,Sábado,Fase 3: Específico VO2 Max,FONDO + final progresivo,16 km,13 km @ 4:50 + 3 km bajando a 4:15,Z2 → Z3,Ensanchar el tanque aeróbico.
2026-08-02,Domingo,Fase 3: Específico VO2 Max,CUESTAS B — Fuerza-Resistencia,10 km total,8 x 45 s cuesta fuerte,Z5 en la repetición,Bajada TROTANDO = recuperación. Cadencia alta >180.
2026-08-03,Lunes,Fase 3: Específico VO2 Max,Recuperación,8 km,5:30,Z1,Día más fácil de la semana.
2026-08-04,Martes,Fase 3: Específico VO2 Max,Series específicas 5K,5 x 1000 m,3:10-3:12,Z5 (>186),LA sesión clave. Recuperación 2 min activos.
2026-08-05,Miércoles,Fase 3: Específico VO2 Max,Rodaje suave,10 km,5:00,Z2,
2026-08-06,Jueves,Fase 3: Específico VO2 Max,Series cortas (velocidad),10 x 400 m,1:15 por vuelta (~3:07/km),Z5 (>187),Recuperación 60 s. Buscar mecánica de 5K.
2026-08-07,Viernes,Fase 3: Específico VO2 Max,Recuperación,8 km,5:20,Z1,Regenerativo muy suave.
2026-08-08,Sábado,Fase 3: Específico VO2 Max,FONDO + final progresivo,17 km,14 km @ 4:45 + 3 km bajando a 4:10,Z2 → Z3,
