Código,Protocolo,Se usa en,Duración,Orden,Contenido,Notas del coach
C1,CALENTAMIENTO Estándar,"Rodajes fáciles, recuperación, dobles PM",10 min,1,"Movilidad dinámica: círculos de cadera, balanceo de pierna frontal 10/lado, balanceo lateral 10/lado, círculos de tobillo, rotación de tronco","5 min. De pie, sin prisa."
C1,CALENTAMIENTO Estándar,"Rodajes fáciles, recuperación, dobles PM",10 min,2,Caminar rápido 3 min,"Sube pulso sin estrés."
C1,CALENTAMIENTO Estándar,"Rodajes fáciles, recuperación, dobles PM",10 min,3,"Arrancar el trote 30-40 s/km más lento que el objetivo y subir progresivo","En día fácil NO hacen falta drills ni rectas. El trote es el calentamiento."
C2,CALENTAMIENTO de Calidad,"Intervalos, series, tempo, pista, test",25-30 min,1,Movilidad dinámica (igual que C1),5 min
C2,CALENTAMIENTO de Calidad,"Intervalos, series, tempo, pista, test",25-30 min,2,Trote progresivo 15 min,"Empieza en 5:40 y termina en 5:00. FC no debe pasar 160."
C2,CALENTAMIENTO de Calidad,"Intervalos, series, tempo, pista, test",25-30 min,3,"Drills técnicos: skipping A 2x20 m, skipping B 2x20 m, talón-glúteo 2x20 m, carioca 2x20 m, taloneo rápido 2x20 m",5 min. Buscar cadencia alta y contacto corto.
C2,CALENTAMIENTO de Calidad,"Intervalos, series, tempo, pista, test",25-30 min,4,4 rectas progresivas de 80 m,"La última al 95% del ritmo de la sesión. Vuelta caminando."
C2,CALENTAMIENTO de Calidad,"Intervalos, series, tempo, pista, test",25-30 min,5,Pausa 2-3 min: hidratar y respirar,"REGLA: si la primera serie es la más rápida del día, calentaste mal."
C3,CALENTAMIENTO de Fondo,Sábados (fondo largo),8 min,1,Movilidad dinámica con énfasis en cadera y tobillo,5 min
C3,CALENTAMIENTO de Fondo,Sábados (fondo largo),8 min,2,Primeros 2 km del fondo a 5:30-5:40,"Esos 2 km CUENTAN dentro del volumen. Nunca salgas a ritmo objetivo desde el km 1."
C4,CALENTAMIENTO de Cuestas A,Domingos neuromusculares,25 min,1,Movilidad dinámica,5 min
C4,CALENTAMIENTO de Cuestas A,Domingos neuromusculares,25 min,2,Trote 15 min en Z1,"Llega a la cuesta con el cuerpo caliente de verdad."
C4,CALENTAMIENTO de Cuestas A,Domingos neuromusculares,25 min,3,Drills 4 min + 3 rectas progresivas en llano,
C4,CALENTAMIENTO de Cuestas A,Domingos neuromusculares,25 min,4,"2 subidas de aproximación: una al 70% y otra al 85%","CRÍTICO: nunca arranques a MÁXIMO en frío. El riesgo de isquios es real."
C5,CALENTAMIENTO de Cuestas B,Domingos fuerza-resistencia,20 min,1,Movilidad dinámica,5 min
C5,CALENTAMIENTO de Cuestas B,Domingos fuerza-resistencia,20 min,2,Trote 12-15 min en Z1,
C5,CALENTAMIENTO de Cuestas B,Domingos fuerza-resistencia,20 min,3,Drills 4 min,
C5,CALENTAMIENTO de Cuestas B,Domingos fuerza-resistencia,20 min,4,1 repetición de cuesta al 80% como ensayo,"Ajusta el punto exacto de arranque y llegada."
C6,CALENTAMIENTO de Carrera,Domingo 20 de septiembre,35-40 min,1,T-40 min: movilidad dinámica,6 min
C6,CALENTAMIENTO de Carrera,Domingo 20 de septiembre,35-40 min,2,T-33 min: trote progresivo 12 min,
C6,CALENTAMIENTO de Carrera,Domingo 20 de septiembre,35-40 min,3,T-20 min: drills técnicos,4 min
C6,CALENTAMIENTO de Carrera,Domingo 20 de septiembre,35-40 min,4,T-15 min: 4 rectas de 80 m,"La última EXACTAMENTE a ritmo de carrera. Memoriza esa sensación."
C6,CALENTAMIENTO de Carrera,Domingo 20 de septiembre,35-40 min,5,"T-8 min: caminar, respirar, últimos sorbos de agua, quitar ropa extra",
C6,CALENTAMIENTO de Carrera,Domingo 20 de septiembre,35-40 min,6,T-3 min: a la línea + 2 aceleraciones cortas,"NADA nuevo el día de la carrera. Ensaya este calentamiento el 15 y el 17 de septiembre."
VC1,VUELTA A LA CALMA Fácil,"Rodajes fáciles, recuperación, dobles",8 min,1,Bajar el ritmo naturalmente los últimos 5 min del rodaje,
VC1,VUELTA A LA CALMA Fácil,"Rodajes fáciles, recuperación, dobles",8 min,2,Caminar 3 min,
VC1,VUELTA A LA CALMA Fácil,"Rodajes fáciles, recuperación, dobles",8 min,3,"Estiramiento suave 30 s c/u: isquios, cuádriceps, gemelo, sóleo, flexor de cadera, glúteo",5 min
VC2,VUELTA A LA CALMA de Calidad,"Intervalos, tempo, series, cuestas B",20 min,1,Trote MUY suave 10-12 min a 5:45-6:00,"FC por debajo de 140. NO es opcional: aquí se limpia el lactato."
VC2,VUELTA A LA CALMA de Calidad,"Intervalos, tempo, series, cuestas B",20 min,2,Caminar 3 min,
VC2,VUELTA A LA CALMA de Calidad,"Intervalos, tempo, series, cuestas B",20 min,3,Estiramiento estático 30-45 s por músculo,6 min
VC2,VUELTA A LA CALMA de Calidad,"Intervalos, tempo, series, cuestas B",20 min,4,"Foam roller: cuádriceps, banda iliotibial, gemelos, glúteos",5 min
VC2,VUELTA A LA CALMA de Calidad,"Intervalos, tempo, series, cuestas B",20 min,5,Proteína + carbohidrato dentro de los 45 min,"Saltarte el trote de vuelta a la calma es la razón #1 de que un martes duro arruine el miércoles."
VC3,VUELTA A LA CALMA de Fondo,Sábados,15-20 min,1,Último km trotando suave después del tramo progresivo,
VC3,VUELTA A LA CALMA de Fondo,Sábados,15-20 min,2,Caminar 5 min + hidratar con electrolitos,
VC3,VUELTA A LA CALMA de Fondo,Sábados,15-20 min,3,Estiramiento 6 min,
VC3,VUELTA A LA CALMA de Fondo,Sábados,15-20 min,4,Piernas en alto contra la pared 5 min,"Acelera el retorno venoso. Cuestión de 5 minutos y llegas mejor al domingo."
VC3,VUELTA A LA CALMA de Fondo,Sábados,15-20 min,5,Comida completa dentro de los 30-45 min,"Después de 15+ km la ventana importa de verdad."
VC4,VUELTA A LA CALMA de Cuestas A,Domingos neuromusculares,12 min,1,Trote suave 8 min,
VC4,VUELTA A LA CALMA de Cuestas A,Domingos neuromusculares,12 min,2,Estiramiento con énfasis en isquios y gemelos,"Los sprints máximos cargan mucho el tendón. No te lo saltes."
VC5,VUELTA A LA CALMA de Fuerza,"Martes y jueves PM, tras la pesa",10 min,1,Bici estática suave o caminar 5 min,
VC5,VUELTA A LA CALMA de Fuerza,"Martes y jueves PM, tras la pesa",10 min,2,Estiramiento 5 min,
VC5,VUELTA A LA CALMA de Fuerza,"Martes y jueves PM, tras la pesa",10 min,3,Proteína dentro de los 30 min,
