Fecha,Día,Semana,Fase,SESIÓN,Volumen,Ritmo objetivo,Zona FC,1. CALENTAMIENTO (completo),2. SESIÓN PRINCIPAL,3. VUELTA A LA CALMA (completo),4. PM — Fuerza o doble,Rutina diaria (8 min),Nota del coach
2026-07-25,Sábado,Arranque,Fase 2: Base y Umbral,FONDO + final progresivo,15 km,12 km @4:50-5:00 + 3 km bajando a 4:20,Z2 → Z3,"[C3]
1. Movilidad dinámica 5 min con énfasis en cadera y tobillo
2. Los primeros 2 km del fondo a 5:30-5:40
3. ⚑ Esos 2 km CUENTAN dentro del volumen. Nunca salgas a ritmo objetivo desde el km 1.","FONDO + final progresivo
Volumen: 15 km
Ritmo: 12 km @4:50-5:00 + 3 km bajando a 4:20
Zona: Z2 → Z3","[VC3]
1. Último km trotando suave después del tramo progresivo
2. Caminar 5 min + hidratar con electrolitos
3. Estiramiento 6 min
4. Piernas en alto contra la pared 5 min
5. Comida completa dentro de los 30-45 min",— descanso PM —,"Rutina diaria (8 min): movilidad de tobillo 2' · 90/90 de cadera 2' · puente de glúteo x15 · plancha 45"" · respiración diafragmática 2'",Primer fondo del bloque. No lo negocies.
2026-07-26,Domingo,Arranque,Fase 2: Base y Umbral,CUESTAS A — Neuromuscular,8 km total,10 x 12 s cuesta a MÁXIMO,Z1 + picos,"[C4]
1. Movilidad dinámica 5 min
2. Trote 15 min en Z1 — llega a la cuesta caliente de verdad
3. Drills 4 min + 3 rectas progresivas en llano
4. 2 subidas de aproximación: una al 70% y otra al 85%
5. ⚑ CRÍTICO: nunca arranques a MÁXIMO en frío. El riesgo de isquios es real.","CUESTAS A — Neuromuscular
Volumen: 8 km total
Ritmo: 10 x 12 s cuesta a MÁXIMO
Zona: Z1 + picos","[VC4]
1. Trote suave 8 min
2. Estiramiento con énfasis en isquios y gemelos
3. ⚑ Los sprints máximos cargan mucho el tendón. No te lo saltes.",— descanso PM —,"Rutina diaria (8 min): movilidad de tobillo 2' · 90/90 de cadera 2' · puente de glúteo x15 · plancha 45"" · respiración diafragmática 2'",Bajar CAMINANDO 2-3 min. Recuperación completa.
2026-07-27,Lunes,Semana 1 · Base,Fase 2: Base y Umbral,Recuperación,8 km,5:20-5:30,Z1 (<158),"[C1]
1. Movilidad dinámica 5 min: círculos de cadera · balanceo de pierna frontal 10/lado · balanceo lateral 10/lado · círculos de tobillo · rotación de tronco
2. Caminar rápido 3 min
3. Arrancar el trote 30-40 s/km más lento que el objetivo y subir progresivo
4. ⚑ En día fácil NO hacen falta drills ni rectas. El trote es el calentamiento.","Recuperación
Volumen: 8 km
Ritmo: 5:20-5:30
Zona: Z1 (<158)","[VC1]
1. Bajar el ritmo naturalmente los últimos 5 min del rodaje
2. Caminar 3 min
3. Estiramiento suave 30 s c/u: isquios · cuádriceps · gemelo · sóleo · flexor de cadera · glúteo",— descanso PM —,"Rutina diaria (8 min): movilidad de tobillo 2' · 90/90 de cadera 2' · puente de glúteo x15 · plancha 45"" · respiración diafragmática 2'",Soltar piernas del fin de semana.
2026-07-28,Martes,Semana 1 · Base,Fase 2: Base y Umbral,Intervalos de Umbral,4 x 2 km,3:40-3:45,Z4 (177-186),"[C2]
1. Movilidad dinámica 5 min
2. Trote progresivo 15 min (de 5:40 a 5:00). FC no debe pasar 160
3. Drills 5 min: skipping A 2x20 m · skipping B 2x20 m · talón-glúteo 2x20 m · carioca 2x20 m · taloneo rápido 2x20 m
4. 4 rectas progresivas de 80 m — la última al 95% del ritmo de la sesión. Vuelta caminando
5. Pausa 2-3 min: hidratar y respirar
6. ⚑ Si la primera serie es la más rápida del día, calentaste mal.","Intervalos de Umbral
Volumen: 4 x 2 km
Ritmo: 3:40-3:45
Zona: Z4 (177-186)","[VC2]
1. Trote MUY suave 10-12 min a 5:45-6:00 — FC por debajo de 140
2. Caminar 3 min
3. Estiramiento estático 6 min (30-45 s por músculo)
4. Foam roller 5 min: cuádriceps · banda iliotibial · gemelos · glúteos
5. Proteína + carbohidrato dentro de los 45 min
6. ⚑ Saltarte esto es la razón #1 de que un martes duro arruine el miércoles.","FUERZA A — Máxima (45 min)
• Sentadilla trasera 4 x 5 @ 80-85% 1RM
• Peso muerto rumano 3 x 6 @ 75-80%
• Zancada con mancuernas 3 x 8 por pierna
• Elevación de gemelo a 1 pierna 3 x 12
• Plancha frontal 3 x 45 s
• Dead bug 3 x 10 por lado
• → VC5: bici o caminar 5 min + estiramiento 5 min + proteína en 30 min","Rutina diaria (8 min): movilidad de tobillo 2' · 90/90 de cadera 2' · puente de glúteo x15 · plancha 45"" · respiración diafragmática 2'","Fuerza DESPUÉS de correr, mínimo 4 h de separación."
2026-07-29,Miércoles,Semana 1 · Base,Fase 2: Base y Umbral,Rodaje medio,10 km,5:00,Z2 (158-166),"[C1]
1. Movilidad dinámica 5 min: círculos de cadera · balanceo de pierna frontal 10/lado · balanceo lateral 10/lado · círculos de tobillo · rotación de tronco
2. Caminar rápido 3 min
3. Arrancar el trote 30-40 s/km más lento que el objetivo y subir progresivo
4. ⚑ En día fácil NO hacen falta drills ni rectas. El trote es el calentamiento.","Rodaje medio
Volumen: 10 km
Ritmo: 5:00
Zona: Z2 (158-166)","[VC1]
1. Bajar el ritmo naturalmente los últimos 5 min del rodaje
2. Caminar 3 min
3. Estiramiento suave 30 s c/u: isquios · cuádriceps · gemelo · sóleo · flexor de cadera · glúteo",— descanso PM —,"Rutina diaria (8 min): movilidad de tobillo 2' · 90/90 de cadera 2' · puente de glúteo x15 · plancha 45"" · respiración diafragmática 2'",Frenar de verdad. FC techo 166.
2026-07-30,Jueves,Semana 1 · Base,Fase 2: Base y Umbral,Tempo continuo,2 cal + 5 tempo + 2 enf,3:50-3:55,Z3-Z4,"[C2]
1. Movilidad dinámica 5 min
2. Trote progresivo 15 min (de 5:40 a 5:00). FC no debe pasar 160
3. Drills 5 min: skipping A 2x20 m · skipping B 2x20 m · talón-glúteo 2x20 m · carioca 2x20 m · taloneo rápido 2x20 m
4. 4 rectas progresivas de 80 m — la última al 95% del ritmo de la sesión. Vuelta caminando
5. Pausa 2-3 min: hidratar y respirar
6. ⚑ Si la primera serie es la más rápida del día, calentaste mal.","Tempo continuo
Volumen: 2 cal + 5 tempo + 2 enf
Ritmo: 3:50-3:55
Zona: Z3-Z4","[VC2]
1. Trote MUY suave 10-12 min a 5:45-6:00 — FC por debajo de 140
2. Caminar 3 min
3. Estiramiento estático 6 min (30-45 s por músculo)
4. Foam roller 5 min: cuádriceps · banda iliotibial · gemelos · glúteos
5. Proteína + carbohidrato dentro de los 45 min
6. ⚑ Saltarte esto es la razón #1 de que un martes duro arruine el miércoles.","FUERZA B — Pliometría + Core (35 min)
• Salto al cajón 4 x 5 (40-50 cm)
• Salto con contramovimiento 3 x 6
• Bounding / multisaltos 4 x 20 m
• Peso muerto a 1 pierna 3 x 8 por pierna
• Puente de glúteo a 1 pierna 3 x 12
• Pallof press 3 x 10 por lado
• Plancha lateral 3 x 30 s por lado
• → VC5: bici o caminar 5 min + estiramiento 5 min + proteína en 30 min","Rutina diaria (8 min): movilidad de tobillo 2' · 90/90 de cadera 2' · puente de glúteo x15 · plancha 45"" · respiración diafragmática 2'",Completar los 5 km enteros. Sal conservador.
2026-07-31,Viernes,Semana 1 · Base,Fase 2: Base y Umbral,Recuperación,6 km,5:30,Z1,"[C1]
1. Movilidad dinámica 5 min: círculos de cadera · balanceo de pierna frontal 10/lado · balanceo lateral 10/lado · círculos de tobillo · rotación de tronco
2. Caminar rápido 3 min
3. Arrancar el trote 30-40 s/km más lento que el objetivo y subir progresivo
4. ⚑ En día fácil NO hacen falta drills ni rectas. El trote es el calentamiento.","Recuperación
Volumen: 6 km
Ritmo: 5:30
Zona: Z1","[VC1]
1. Bajar el ritmo naturalmente los últimos 5 min del rodaje
2. Caminar 3 min
3. Estiramiento suave 30 s c/u: isquios · cuádriceps · gemelo · sóleo · flexor de cadera · glúteo",— descanso PM —,"Rutina diaria (8 min): movilidad de tobillo 2' · 90/90 de cadera 2' · puente de glúteo x15 · plancha 45"" · respiración diafragmática 2'",Regenerativo estricto. Nada de fuerza hoy.
2026-08-01,Sábado,Semana 1 · Base,Fase 2: Base y Umbral,FONDO + final progresivo,16 km,13 km @4:50 + 3 km bajando a 4:15,Z2 → Z3,"[C3]
1. Movilidad dinámica 5 min con énfasis en cadera y tobillo
2. Los primeros 2 km del fondo a 5:30-5:40
3. ⚑ Esos 2 km CUENTAN dentro del volumen. Nunca salgas a ritmo objetivo desde el km 1.","FONDO + final progresivo
Volumen: 16 km
Ritmo: 13 km @4:50 + 3 km bajando a 4:15
Zona: Z2 → Z3","[VC3]
1. Último km trotando suave después del tramo progresivo
2. Caminar 5 min + hidratar con electrolitos
3. Estiramiento 6 min
4. Piernas en alto contra la pared 5 min
5. Comida completa dentro de los 30-45 min",— descanso PM —,"Rutina diaria (8 min): movilidad de tobillo 2' · 90/90 de cadera 2' · puente de glúteo x15 · plancha 45"" · respiración diafragmática 2'",Semana 1 de 8. Construyendo.
2026-08-02,Domingo,Semana 1 · Base,Fase 2: Base y Umbral,CUESTAS B — Fuerza-Resistencia,8-10 km total,8 x 45 s cuesta fuerte,Z5 en la rep,"[C5]
1. Movilidad dinámica 5 min
2. Trote 12-15 min en Z1
3. Drills 4 min
4. 1 repetición de cuesta al 80% como ensayo — ajusta arranque y llegada","CUESTAS B — Fuerza-Resistencia
Volumen: 8-10 km total
Ritmo: 8 x 45 s cuesta fuerte
Zona: Z5 en la rep","[VC2]
1. Trote MUY suave 10-12 min a 5:45-6:00 — FC por debajo de 140
2. Caminar 3 min
3. Estiramiento estático 6 min (30-45 s por músculo)
4. Foam roller 5 min: cuádriceps · banda iliotibial · gemelos · glúteos
5. Proteína + carbohidrato dentro de los 45 min
6. ⚑ Saltarte esto es la razón #1 de que un martes duro arruine el miércoles.",— descanso PM —,"Rutina diaria (8 min): movilidad de tobillo 2' · 90/90 de cadera 2' · puente de glúteo x15 · plancha 45"" · respiración diafragmática 2'",Bajada TROTANDO = recuperación. Cadencia >180.
2026-08-03,Lunes,Semana 2 · Base,Fase 2: Base y Umbral,Recuperación,8 km,5:20-5:30,Z1 (<158),"[C1]
1. Movilidad dinámica 5 min: círculos de cadera · balanceo de pierna frontal 10/lado · balanceo lateral 10/lado · círculos de tobillo · rotación de tronco
2. Caminar rápido 3 min
3. Arrancar el trote 30-40 s/km más lento que el objetivo y subir progresivo
4. ⚑ En día fácil NO hacen falta drills ni rectas. El trote es el calentamiento.","Recuperación
Volumen: 8 km
Ritmo: 5:20-5:30
Zona: Z1 (<158)","[VC1]
1. Bajar el ritmo naturalmente los últimos 5 min del rodaje
2. Caminar 3 min
3. Estiramiento suave 30 s c/u: isquios · cuádriceps · gemelo · sóleo · flexor de cadera · glúteo",— descanso PM —,"Rutina diaria (8 min): movilidad de tobillo 2' · 90/90 de cadera 2' · puente de glúteo x15 · plancha 45"" · respiración diafragmática 2'",Soltar piernas del fin de semana.
